"urn:cts:greekLit:tlg0012.tlg002:1.1","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_361","reference","analysis of choral leadership of Apollo and the Muses"
"urn:cts:greekLit:tlg0012.tlg002:1.1","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_425","reference","analysis of polutropos, Odysseus’ epithet, in the context of analyzing the multiplicity of ainos and comparison with Theognis 215-218 and Pindar F 43 SM"
"urn:cts:greekLit:tlg0012.tlg002:1.1-1.10","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_231","reference","parallelism between the prooemium and Teiresias’ instructions concerning nostos (O.11.100-118)"
"urn:cts:greekLit:tlg0012.tlg002:1.2","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_231","reference","analysis of the language of the prooemium in comparison with Herodotus (his appropriation of Homer)"
"urn:cts:greekLit:tlg0012.tlg002:1.3","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_231","quoted and translated","analysis of the language of the prooemium in comparison with Herodotus (his appropriation of Homer)"
"urn:cts:greekLit:tlg0012.tlg002:1.3","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_232","references","interpretation of sēma, noos, and the meaning of the line"
"urn:cts:greekLit:tlg0012.tlg002:1.3","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_236","translation","analysis of the analogous nature of Odysseus’ and Herodotus’ privileged position of knowledge deriving from their travelling through many cities"
"urn:cts:greekLit:tlg0012.tlg002:1.6-1.7","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_242","reference","note that O.01.033-034 should be understood in conjunction with this passage in the context of the analysis of the juridical distinction between being the cause of misfortunes and being legally responsible (aitios) for them"
"urn:cts:greekLit:tlg0012.tlg002:1.9","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_222","quoting part of the line","examples of transition from prooemium to narrative proper by way of repetition"
"urn:cts:greekLit:tlg0012.tlg002:1.13","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_222","quoting part of the line","examples of transition from prooemium to narrative proper by way of repetition"
"urn:cts:greekLit:tlg0012.tlg002:1.32-1.34","urn:cts:ahcip:GregoryNagy.PindarsHomer:s_241","quoted and translated","analysis of the juridical distinction between being the cause of misfortunes and being legally responsible (aitios) for them"
